-1	0	0	1
-1	0	-1	2
-1	1	-1	3
-1	1	-2	6
-1	2	-2	9
-1	3	-2	14
-1	3	-3	19
0	3	-3	18
1	3	-3	19
2	3	-3	22
3	3	-3	27
2	3	-3	22
2	4	-3	29
2	3	-3	22
1	3	-3	19
1	4	-3	26
1	5	-3	35
0	5	-3	34
0	5	-2	29
0	4	-2	20
0	4	-3	25
0	3	-3	18
0	3	-4	25
1	3	-4	26
1	4	-4	33
0	4	-4	32
0	4	-3	25
1	4	-3	26
1	4	-2	21
1	4	-3	26
0	4	-3	25
0	4	-4	32
0	4	-5	41
-1	4	-5	42
-1	3	-5	35
-1	2	-5	30
-2	2	-5	33
-1	2	-5	30
-2	2	-5	33
-2	2	-6	44
-1	2	-6	41
-1	2	-5	30
-2	2	-5	33
-2	2	-6	44
-2	1	-6	41
-2	1	-7	54
-2	0	-7	53
-2	0	-6	40
-2	1	-6	41
-2	1	-5	30
-1	1	-5	27
-1	1	-4	18
-1	1	-5	27
-1	1	-6	38
-1	1	-5	27
-1	1	-6	38
0	1	-6	37
0	0	-6	36
0	1	-6	37
0	1	-5	26
0	2	-5	29
1	2	-5	30
0	2	-5	29
0	2	-4	20
-1	2	-4	21
0	2	-4	20
0	2	-5	29
0	3	-5	34
0	4	-5	41
0	4	-6	52
-1	4	-6	53
-1	4	-5	42
-1	4	-4	33
-2	4	-4	36
-3	4	-4	41
-4	4	-4	48
-3	4	-4	41
-3	4	-3	34
-3	4	-2	29
-3	5	-2	38
-3	4	-2	29
-3	4	-3	34
-3	5	-3	43
-3	4	-3	34
-3	4	-4	41
-3	4	-3	34
-3	4	-2	29
-3	4	-1	26
-2	4	-1	21
-1	4	-1	18
-1	5	-1	27
0	5	-1	26
0	6	-1	37
0	6	0	36
0	6	-1	37
0	6	-2	40
1	6	-2	41
1	6	-1	38
1	5	-1	27
1	4	-1	18
1	3	-1	11
1	2	-1	6
0	2	-1	5
0	1	-1	2
-1	1	-1	3
-2	1	-1	6
-2	0	-1	5
-2	1	-1	6
-1	1	-1	3
-1	1	-2	6
0	1	-2	5
-1	1	-2	6
-2	1	-2	9
-3	1	-2	14
-2	1	-2	9
-2	0	-2	8
-3	0	-2	13
-3	-1	-2	14
-3	-1	-3	19
-3	0	-3	18
-3	-1	-3	19
-3	-1	-4	26
-3	-1	-5	35
-3	-1	-4	26
-3	0	-4	25
-2	0	-4	20
-3	0	-4	25
-3	0	-5	34
-3	-1	-5	35
-3	-1	-4	26
-3	-2	-4	29
-3	-2	-5	38
-2	-2	-5	33
-2	-1	-5	30
-2	0	-5	29
-2	1	-5	30
-2	0	-5	29
-3	0	-5	34
-4	0	-5	41
-4	-1	-5	42
-4	-2	-5	45
-4	-2	-4	36
-4	-2	-3	29
-5	-2	-3	38
-5	-3	-3	43
-5	-4	-3	50
-5	-4	-2	45
-5	-4	-1	42
-6	-4	-1	53
-6	-5	-1	62
-5	-5	-1	51
-5	-5	0	50
-5	-5	-1	51
-5	-5	0	50
-5	-6	0	61
-6	-6	0	72
-6	-6	-1	73
-5	-6	-1	62
-5	-6	0	61
-5	-6	-1	62
-5	-6	0	61
-5	-7	0	74
-5	-8	0	89
-5	-8	1	90
-6	-8	1	101
-5	-8	1	90
-5	-8	2	93
-5	-8	1	90
-6	-8	1	101
-6	-8	2	104
-7	-8	2	117
-8	-8	2	132
-8	-8	3	137
-7	-8	3	122
-7	-7	3	107
-6	-7	3	94
-6	-6	3	81
-5	-6	3	70
-5	-6	4	77
-5	-6	5	86
-4	-6	5	77
-4	-6	6	88
-4	-7	6	101
-3	-7	6	94
-3	-6	6	81
-3	-6	7	94
-3	-6	8	109
-3	-7	8	122
-3	-6	8	109
-3	-6	9	126
-3	-5	9	115
-2	-5	9	110
-1	-5	9	107
-1	-6	9	118
-1	-6	8	101
-1	-7	8	114
0	-7	8	113
-1	-7	8	114
-1	-8	8	129
-1	-8	9	146
0	-8	9	145
0	-8	8	128
-1	-8	8	129
-1	-8	9	146
-1	-8	10	165
-2	-8	10	168
-2	-8	9	149
-2	-8	8	132
-2	-9	8	149
-2	-9	7	134
-2	-8	7	117
-2	-8	8	132
-2	-8	7	117
-3	-8	7	122
-3	-8	6	109
-4	-8	6	116
-4	-9	6	133
-5	-9	6	142
-4	-9	6	133
-4	-8	6	116
-5	-8	6	125
-5	-7	6	110
-5	-8	6	125
